Time,Sample,Plot,Device,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error
6/5/2022 14:46,61,M,0,12, ,1.7, ,       ,L,6.3, ,7.4, ,16.8, 
6/5/2022 15:03,62,L,0,12.3, ,4.4, ,       ,L,15.9, ,10.7, ,16.8, 
6/5/2022 15:25,64,J,0,2.4, ,7.3, ,       ,L,3.1, ,4.5, ,12.3, 
6/5/2022 15:34,65,K,0,8.2, ,1.2, ,       ,L,6.3, ,1.9, ,26.9, 
11/5/2022 12:15,66,B,0,12.2, ,15.8, ,       ,L,32, ,34.8, ,38.3, 
11/5/2022 12:17,67,C,0,7.3, ,8.1, ,5.6, ,24.1, ,18.5, ,28.5, 
11/5/2022 12:23,68,D,0,13, ,21.8, ,5.9, ,26.8, ,38, ,35.6, 
11/5/2022 12:52,69,S,0,16.8, ,12.2, ,       ,L,10.3, ,19.8, ,25.4, 
11/5/2022 12:56,70,T,0,7.2, ,9.8, ,       ,L,13.2, ,13.8, ,18.6, 
11/5/2022 13:01,71,A,0,12, ,0.7, ,5.2, ,14.4, ,16.6, ,32.6, 
11/5/2022 13:39,72,R,0,13.3, ,14.7, ,       ,L,8.2, ,14.2, ,28, 
11/5/2022 15:10,73,O,0,8.7, ,8.4, ,       ,L,1, ,3, ,7.1, 
11/5/2022 15:15,74,P,0,17.5, ,9.7, ,       ,L,6.7, ,7.3, ,11.7, 
11/5/2022 15:19,75,Q,0,11.1, ,10.6, ,3.7, ,18.2, ,10.2, ,16.1, 
11/5/2022 15:27,76,M,0,13.1, ,5.9, ,       ,L,0.3, ,7.3, ,16, 
11/5/2022 15:32,77,M,0,9.8, ,3.1, ,       ,L,5.2, ,5.8, ,15.8, 
11/5/2022 15:36,78,L,0,12.1, ,2.3, ,       ,L,14.6, ,10.3, ,15.3, 
11/5/2022 15:41,79,N,0,13.6, ,5.2, ,       ,L,       ,L,6.4, ,16.4, 
11/5/2022 15:41,80,N,0,13.6, ,5.1, ,       ,L,       ,L,6.4, ,16.4, 
11/5/2022 16:40,81,E,0,11.5, ,22.5, ,18.3, ,40, ,44.3, ,20, 
11/5/2022 16:43,82,F,0,28.2, ,21.2, ,11.7, ,32.5, ,31.5, ,17.8, 
11/5/2022 16:47,83,G,0,17.1, ,25.1, ,11.6, ,14.9, ,20.5, ,17.1, 
